Period_Date,MID,DBA,Pricing,Rep,Rep_ID,NSD,NSD_ID,Approved Date,Sales Volume,Transaction Count,Gross Profit,Net Residual Before %,Net Residual
2025-11-01,8739786066450433.0,Premier Auto Shop LLC,IC,John Smith,9001.0,Alex,9001.0,10/3/2024,7664.24,6.0,37.88,8.11,4.06
2025-11-01,8739793929711424.0,Elite Auto Shop,DP,John Smith,9001.0,Alex,9001.0,9/10/2025,4731.58,3.0,137.4,109.52,54.76
2025-11-01,8739728121440902.0,Quality Auto Shop,DP,John Smith,9001.0,Alex,9001.0,2/28/2025,556.37,34.0,2.62,-21.51,-10.76
2025-11-01,8739734381967768.0,Superior Auto Shop Co,DP,John Smith,9001.0,Alex,9001.0,8/12/2025,5347.64,21.0,105.2,79.63,39.82
2025-11-01,815221422885.0,Prime Auto Shop,IC,John Smith,9001.0,Alex,9001.0,8/25/2025,11114.2,30.0,94.13,77.42,38.71
2025-11-01,8739774601302792.0,Express Restaurant,DP,John Smith,9001.0,Alex,9001.0,10/31/2025,6150.97,445.0,83.29,56.88,28.44
2025-11-01,8739745252227899.0,Professional Auto Shop,IC,John Smith,9001.0,Alex,9001.0,7/26/2024,13295.2,38.0,203.46,185.68,92.84
2025-11-01,8739729241513089.0,Advanced Auto Shop Corp,DP,John Smith,9001.0,Alex,9001.0,7/17/2024,2401.13,28.0,86.97,69.45,34.72
2025-11-01,8739792930734136.0,Modern Auto Shop,DP,John Smith,9001.0,Alex,9001.0,7/17/2024,11363.2,98.0,334.04,307.17,153.58
2025-11-01,8739723074066748.0,Classic Auto Shop,IC,John Smith,9001.0,Alex,9001.0,4/3/2025,8984.61,215.0,52.39,26.09,13.04
2025-11-01,8739700807940957.0,Express Auto Shop Inc,DP,John Smith,9001.0,Alex,9001.0,9/17/2025,0.0,0.0,51.55,11.55,5.78
2025-11-01,8739760638805457.0,Premier Restaurant,DP,John Smith,9001.0,Alex,9001.0,6/10/2024,800.8,1.0,143.18,117.3,58.65
2025-11-01,8739793936584297.0,Premier Retail Store,DP,John Smith,9001.0,Alex,9001.0,10/31/2025,19.98,2.0,15.62,-23.63,-11.82
2025-11-01,8739703227385635.0,Elite Restaurant,DP,John Smith,9001.0,Alex,9001.0,9/26/2025,12490.5,83.0,232.62,204.89,102.44
2025-11-01,8739769535500001.0,Quality Restaurant LLC,IC,John Smith,9001.0,Alex,9001.0,5/5/2024,0.0,0.0,58.5,18.5,9.25
2025-11-01,8739778002495932.0,Superior Restaurant,DP,John Smith,9001.0,Alex,9001.0,3/6/2025,0.0,0.0,26.55,-18.4,-9.2
2025-11-01,8739766254521042.0,Elite Retail Store Inc,DP,John Smith,9001.0,Alex,9001.0,10/16/2025,0.0,0.0,46.55,6.55,3.28
2025-11-01,8739783764653811.0,Prime Restaurant,DP,John Smith,9001.0,Alex,9001.0,6/17/2025,581.36,3.0,128.6,100.18,50.09
2025-11-01,8739725687316057.0,Professional Restaurant Co,DP,John Smith,9001.0,Alex,9001.0,9/5/2025,4133.34,9.0,69.44,35.16,17.58
2025-11-01,8739779032583920.0,Advanced Restaurant,DP,John Smith,9001.0,Alex,9001.0,10/14/2024,0.0,0.0,46.55,6.55,3.28
2025-11-01,8739797274678664.0,Quality Retail Store,DP,John Smith,9001.0,Alex,9001.0,10/31/2025,180.4,10.0,12.07,-26.14,-13.07
2025-11-01,8739734514113013.0,Classic Restaurant Corp,IC,John Smith,9001.0,Alex,9001.0,1/22/2025,2812.68,10.0,42.69,-5.94,-2.97
2025-11-01,8739787251412541.0,Classic Manufacturing Corp,DP,John Smith,9001.0,Alex,9001.0,11/3/2025,47388.48,2034.0,868.15,799.68,399.84
2025-11-01,8739799245587721.0,Express Manufacturing,DP,John Smith,9001.0,Alex,9001.0,11/25/2025,0.01,1.0,-2.71,-22.66,-11.33
2025-11-01,815224727884.0,Premier Auto Shop,DP,John Smith,9001.0,Alex,9001.0,11/10/2025,14052.92,106.0,277.71,243.0,121.5
2025-11-01,8739798287909167.0,Superior Retail Store,IC,Sarah Smith,9001.0,Alex,9001.0,4/23/2025,48687.92,10.0,179.95,146.08,65.74
2025-11-01,8739713786482505.0,Prime Retail Store LLC,IC,Sarah Smith,9001.0,Alex,9001.0,4/14/2025,8567.87,206.0,180.22,160.08,72.04
2025-11-01,8739766694283984.0,Professional Retail Store,IC,Sarah Smith,9001.0,Alex,9001.0,4/10/2025,22939.33,113.0,239.53,220.12,99.05
2025-11-01,8739782824753080.0,Advanced Retail Store,IC,Sarah Smith,9001.0,Alex,9001.0,3/18/2025,10673.27,74.0,89.8,54.97,24.74
2025-11-01,8739737009453228.0,Classic Retail Store,DP,Michael Smith,9055.0,Alex,9001.0,10/6/2025,0.0,0.0,0.0,-54.95,-24.73
2025-11-01,8739791424259249.0,Modern Retail Store Co,DP,Michael Smith,9055.0,Alex,9001.0,7/2/2025,9075.2,5.0,65.43,37.42,16.84
2025-11-01,8739755745925097.0,Express Retail Store,DP,Jennifer Smith,9015.0,Brad W,,6/14/2024,0.0,0.0,6.55,-8.45,-3.8
2025-11-01,554402009992314.0,Premier Medical Center Corp,IC,David Smith,9019.0,Brad W,,4/30/2024,123352.61,2112.0,527.5,527.5,527.5
2025-11-01,8739761921965702.0,Elite Medical Center,IC,Lisa Smith,9047.0,Brad W,,7/31/2024,70314.38,2525.0,879.41,619.45,278.75
2025-11-01,8739747756267097.0,Quality Medical Center,IC,Robert Smith,9004.0,Chris,9011.0,3/26/2025,0.0,0.0,36.5,16.55,7.45
2025-11-01,815213177885.0,Superior Medical Center Inc,DP,Robert Smith,9004.0,Chris,9011.0,3/17/2025,0.0,0.0,61.45,46.45,20.9
2025-11-01,815213176887.0,Prime Medical Center,DP,Robert Smith,9004.0,Chris,9011.0,3/17/2025,0.0,0.0,61.45,46.45,20.9
2025-11-01,8739780066111906.0,Professional Medical Center,IC,Robert Smith,9004.0,Chris,9011.0,6/3/2025,9289.61,319.0,57.86,32.86,14.79
2025-11-01,8739713028465182.0,Advanced Medical Center LLC,DP,Robert Smith,9004.0,Chris,9011.0,7/3/2025,0.0,0.0,46.55,31.55,14.2
2025-11-01,8739785423024441.0,Modern Medical Center,DP,Emily Smith,9011.0,Chris,9011.0,4/27/2025,2454.37,91.0,88.95,71.38,35.69
2025-11-01,554402009860644.0,Classic Medical Center,DP,Emily Smith,9011.0,Chris,9011.0,8/16/2024,32617.71,824.0,691.67,643.5,321.75
2025-11-01,815222258882.0,Premier Consulting,DP,Emily Smith,9011.0,Chris,9011.0,9/12/2025,2731.58,61.0,98.7,80.85,40.42
2025-11-01,8739721660773734.0,Elite Consulting,DP,Emily Smith,9011.0,Chris,9011.0,7/11/2025,1132.43,3.0,28.98,12.79,6.4
